time,time,input,counts,output,speed2,diff_output
1970-01-01 00:00:00.000,0,32767,0,-0.0,0.0,0.466
1970-01-01 00:00:00.005,5,32767,-1,2.33,-2.33,0.4640000000000001
1970-01-01 00:00:00.010,10,32767,-3,4.65,-4.65,0.0
1970-01-01 00:00:00.015,15,32767,-5,4.65,-4.65,0.932
1970-01-01 00:00:00.020,20,32767,-9,9.31,-9.31,0.466
1970-01-01 00:00:00.025,25,32767,-14,11.64,-11.64,0.0
1970-01-01 00:00:00.030,30,32767,-19,11.64,-11.64,0.9299999999999997
1970-01-01 00:00:00.035,35,32767,-26,16.29,-13.96,0.0
1970-01-01 00:00:00.040,40,32767,-33,16.29,-13.96,0.46600000000000036
1970-01-01 00:00:00.045,45,32767,-41,18.62,-18.62,-0.46600000000000036
1970-01-01 00:00:00.050,50,32767,-48,16.29,-16.29,1.3960000000000001
1970-01-01 00:00:00.055,55,32767,-58,23.27,-20.94,-0.46599999999999964
1970-01-01 00:00:00.060,60,32767,-67,20.94,-23.27,0.46599999999999964
1970-01-01 00:00:00.065,65,32767,-77,23.27,-23.27,0.46600000000000036
1970-01-01 00:00:00.070,70,32767,-88,25.6,-23.27,-0.46600000000000036
1970-01-01 00:00:00.075,75,32767,-98,23.27,-25.6,0.932
1970-01-01 00:00:00.080,80,32767,-110,27.93,-23.27,0.0
1970-01-01 00:00:00.085,85,32767,-122,27.93,-27.93,0.0
1970-01-01 00:00:00.090,90,32767,-133,27.93,-27.93,0.0
1970-01-01 00:00:00.095,95,32767,-146,27.93,-27.93,0.0
1970-01-01 00:00:00.100,100,32767,-158,27.93,-27.93,0.0
1970-01-01 00:00:00.105,105,32767,-170,27.93,-27.93,0.4640000000000001
1970-01-01 00:00:00.110,110,32767,-183,30.25,-30.25,0.0
1970-01-01 00:00:00.115,115,32767,-196,30.25,-27.93,0.0
1970-01-01 00:00:00.120,120,32767,-209,30.25,-30.25,0.0
1970-01-01 00:00:00.125,125,32767,-222,30.25,-30.25,0.46599999999999964
1970-01-01 00:00:00.130,130,32767,-236,32.58,-27.93,0.0
1970-01-01 00:00:00.135,135,32767,-250,32.58,-32.58,-0.46599999999999964
1970-01-01 00:00:00.140,140,32767,-263,30.25,-32.58,0.46599999999999964
1970-01-01 00:00:00.145,145,32767,-277,32.58,-32.58,0.0
1970-01-01 00:00:00.150,150,32767,-291,32.58,-32.58,0.0
1970-01-01 00:00:00.155,155,32767,-305,32.58,-32.58,0.0
1970-01-01 00:00:00.160,160,32767,-319,32.58,-32.58,0.46599999999999964
1970-01-01 00:00:00.165,165,32767,-334,34.91,-32.58,-0.46599999999999964
1970-01-01 00:00:00.170,170,32767,-348,32.58,-32.58,0.0
1970-01-01 00:00:00.175,175,32767,-362,32.58,-32.58,0.0
1970-01-01 00:00:00.180,180,32767,-376,32.58,-32.58,0.46599999999999964
1970-01-01 00:00:00.185,185,32767,-391,34.91,-32.58,0.0
1970-01-01 00:00:00.190,190,32767,-406,34.91,-32.58,-0.46599999999999964
1970-01-01 00:00:00.195,195,32767,-420,32.58,-32.58,0.0
1970-01-01 00:00:00.200,200,32767,-434,32.58,-32.58,0.46599999999999964
1970-01-01 00:00:00.205,205,32767,-449,34.91,-32.58,0.0
1970-01-01 00:00:00.210,210,32767,-464,34.91,-32.58,-0.46599999999999964
1970-01-01 00:00:00.215,215,32767,-478,32.58,-32.58,0.9299999999999997
1970-01-01 00:00:00.220,220,32767,-494,37.23,-32.58,-0.9299999999999997
1970-01-01 00:00:00.225,225,32767,-508,32.58,-32.58,0.46599999999999964
1970-01-01 00:00:00.230,230,32767,-523,34.91,-34.91,0.0
1970-01-01 00:00:00.235,235,32767,-538,34.91,-32.58,-0.46599999999999964
