time,time,input,counts,output,speed2,diff_output
1970-01-01 00:00:00.405,405,32767,-1049,32.58,-34.91,0.9299999999999997
1970-01-01 00:00:00.410,410,32767,-1065,37.23,-32.58,-0.9299999999999997
1970-01-01 00:00:00.415,415,32767,-1079,32.58,-34.91,0.9299999999999997
1970-01-01 00:00:00.420,420,32767,-1095,37.23,-32.58,-0.4640000000000001
1970-01-01 00:00:00.425,425,32767,-1110,34.91,-37.23,0.0
1970-01-01 00:00:00.430,430,32767,-1125,34.91,-32.58,0.0
1970-01-01 00:00:00.435,435,32767,-1140,34.91,-34.91,0.0
1970-01-01 00:00:00.440,440,32767,-1155,34.91,-32.58,0.0
1970-01-01 00:00:00.445,445,32767,-1170,34.91,-34.91,0.0
1970-01-01 00:00:00.450,450,32767,-1185,34.91,-32.58,0.0
1970-01-01 00:00:00.455,455,32767,-1200,34.91,-34.91,0.0
1970-01-01 00:00:00.460,460,32767,-1215,34.91,-34.91,0.4640000000000001
1970-01-01 00:00:00.465,465,32767,-1230,37.23,-32.58,-0.9299999999999997
1970-01-01 00:00:00.470,470,32767,-1245,32.58,-34.91,0.9299999999999997
1970-01-01 00:00:00.475,475,32767,-1261,37.23,-32.58,-0.9299999999999997
1970-01-01 00:00:00.480,480,32767,-1275,32.58,-34.91,0.9299999999999997
1970-01-01 00:00:00.485,485,32767,-1291,37.23,-32.58,-0.9299999999999997
1970-01-01 00:00:00.490,490,32767,-1305,32.58,-34.91,0.9299999999999997
1970-01-01 00:00:00.495,495,32767,-1321,37.23,-32.58,-0.4640000000000001
1970-01-01 00:00:00.500,500,32767,-1335,34.91,-34.91,0.0
1970-01-01 00:00:00.505,505,32767,-1351,34.91,-32.58,0.0
1970-01-01 00:00:00.510,510,32767,-1366,34.91,-34.91,0.0
1970-01-01 00:00:00.515,515,32767,-1381,34.91,-32.58,0.0
1970-01-01 00:00:00.520,520,32767,-1396,34.91,-34.91,0.0
1970-01-01 00:00:00.525,525,32767,-1411,34.91,-32.58,0.0
1970-01-01 00:00:00.530,530,32767,-1426,34.91,-34.91,0.0
1970-01-01 00:00:00.535,535,32767,-1441,34.91,-34.91,0.4640000000000001
