time,time,input,counts,output,speed2,diff_output
1970-01-01 00:00:00.000,0,32767,0,-0.0,0.0,0.0
1970-01-01 00:00:00.005,5,32767,0,-0.0,0.0,1.3960000000000001
1970-01-01 00:00:00.010,10,32767,-3,6.98,-6.98,0.0
1970-01-01 00:00:00.015,15,32767,-6,6.98,-6.98,0.0
1970-01-01 00:00:00.020,20,32767,-9,6.98,-6.98,0.466
1970-01-01 00:00:00.025,25,32767,-13,9.31,-11.64,0.466
1970-01-01 00:00:00.030,30,32767,-18,11.64,-9.31,0.4640000000000001
1970-01-01 00:00:00.035,35,32767,-24,13.96,-11.64,0.46599999999999964
1970-01-01 00:00:00.040,40,32767,-31,16.29,-16.29,0.46600000000000036
1970-01-01 00:00:00.045,45,32767,-38,18.62,-16.29,0.0
1970-01-01 00:00:00.050,50,32767,-47,18.62,-18.62,0.4640000000000001
1970-01-01 00:00:00.055,55,32767,-56,20.94,-18.62,0.0
1970-01-01 00:00:00.060,60,32767,-64,20.94,-20.94,0.0
1970-01-01 00:00:00.065,65,32767,-74,20.94,-20.94,0.46599999999999964
1970-01-01 00:00:00.070,70,32767,-84,23.27,-23.27,0.932
1970-01-01 00:00:00.075,75,32767,-95,27.93,-23.27,-0.932
1970-01-01 00:00:00.080,80,32767,-106,23.27,-23.27,0.932
1970-01-01 00:00:00.085,85,32767,-118,27.93,-25.6,-0.46599999999999964
1970-01-01 00:00:00.090,90,32767,-129,25.6,-27.93,0.46599999999999964
1970-01-01 00:00:00.095,95,32767,-141,27.93,-27.93,0.0
1970-01-01 00:00:00.100,100,32767,-153,27.93,-27.93,0.4640000000000001
1970-01-01 00:00:00.105,105,32767,-166,30.25,-27.93,-0.4640000000000001
1970-01-01 00:00:00.110,110,32767,-178,27.93,-27.93,0.4640000000000001
1970-01-01 00:00:00.115,115,32767,-191,30.25,-30.25,0.0
1970-01-01 00:00:00.120,120,32767,-204,30.25,-27.93,0.0
1970-01-01 00:00:00.125,125,32767,-217,30.25,-32.58,0.0
1970-01-01 00:00:00.130,130,32767,-230,30.25,-30.25,0.46599999999999964
1970-01-01 00:00:00.135,135,32767,-244,32.58,-30.25,0.0
1970-01-01 00:00:00.140,140,32767,-258,32.58,-32.58,-0.46599999999999964
1970-01-01 00:00:00.145,145,32767,-271,30.25,-32.58,0.46599999999999964
1970-01-01 00:00:00.150,150,32767,-284,32.58,-32.58,-0.46599999999999964
1970-01-01 00:00:00.155,155,32767,-298,30.25,-30.25,0.46599999999999964
1970-01-01 00:00:00.160,160,32767,-312,32.58,-30.25,0.0
1970-01-01 00:00:00.165,165,32767,-326,32.58,-30.25,0.46599999999999964
1970-01-01 00:00:00.170,170,32767,-340,34.91,-32.58,-0.46599999999999964
1970-01-01 00:00:00.175,175,32767,-355,32.58,-32.58,0.46599999999999964
1970-01-01 00:00:00.180,180,32767,-369,34.91,-32.58,-0.46599999999999964
1970-01-01 00:00:00.185,185,32767,-384,32.58,-32.58,0.0
1970-01-01 00:00:00.190,190,32767,-398,32.58,-32.58,0.0
1970-01-01 00:00:00.195,195,32767,-412,32.58,-32.58,0.46599999999999964
1970-01-01 00:00:00.200,200,32767,-427,34.91,-32.58,0.0
1970-01-01 00:00:00.205,205,32767,-442,34.91,-32.58,-0.46599999999999964
1970-01-01 00:00:00.210,210,32767,-456,32.58,-32.58,0.46599999999999964
1970-01-01 00:00:00.215,215,32767,-471,34.91,-34.91,0.0
1970-01-01 00:00:00.220,220,32767,-486,34.91,-32.58,-0.46599999999999964
1970-01-01 00:00:00.225,225,32767,-500,32.58,-32.58,0.0
1970-01-01 00:00:00.230,230,32767,-514,32.58,-32.58,0.9299999999999997
1970-01-01 00:00:00.235,235,32767,-530,37.23,-32.58,-0.9299999999999997
1970-01-01 00:00:00.240,240,32767,-544,32.58,-32.58,0.46599999999999964
1970-01-01 00:00:00.245,245,32767,-559,34.91,-34.91,0.0
1970-01-01 00:00:00.250,250,32767,-574,34.91,-32.58,0.0
1970-01-01 00:00:00.255,255,32767,-588,34.91,-34.91,0.0
1970-01-01 00:00:00.260,260,32767,-604,34.91,-32.58,-0.46599999999999964
1970-01-01 00:00:00.265,265,32767,-618,32.58,-34.91,0.9299999999999997
1970-01-01 00:00:00.270,270,32767,-634,37.23,-32.58,-0.9299999999999997
1970-01-01 00:00:00.275,275,32767,-648,32.58,-34.91,0.9299999999999997
1970-01-01 00:00:00.280,280,32767,-664,37.23,-32.58,-0.9299999999999997
1970-01-01 00:00:00.285,285,32767,-678,32.58,-34.91,0.46599999999999964
1970-01-01 00:00:00.290,290,32767,-693,34.91,-34.91,0.0
1970-01-01 00:00:00.295,295,32767,-708,34.91,-32.58,0.0
1970-01-01 00:00:00.300,300,32767,-723,34.91,-34.91,0.0
1970-01-01 00:00:00.305,305,32767,-738,34.91,-32.58,0.0
1970-01-01 00:00:00.310,310,32767,-753,34.91,-34.91,0.0
