time,time,input,counts,output,speed2,diff_output
1970-01-01 00:00:00.000,0,32767,0,-0.0,0.0,0.0
1970-01-01 00:00:00.005,5,32767,0,-0.0,0.0,0.93
1970-01-01 00:00:00.010,10,32767,-2,4.65,-4.65,0.0
1970-01-01 00:00:00.015,15,32767,-4,4.65,-6.98,0.932
1970-01-01 00:00:00.020,20,32767,-8,9.31,-6.98,0.0
1970-01-01 00:00:00.025,25,32767,-12,9.31,-11.64,0.93
1970-01-01 00:00:00.030,30,32767,-18,13.96,-11.64,0.0
1970-01-01 00:00:00.035,35,32767,-24,13.96,-13.96,0.46599999999999964
1970-01-01 00:00:00.040,40,32767,-31,16.29,-16.29,0.0
1970-01-01 00:00:00.045,45,32767,-38,16.29,-13.96,0.46600000000000036
1970-01-01 00:00:00.050,50,32767,-46,18.62,-18.62,0.9299999999999997
1970-01-01 00:00:00.055,55,32767,-56,23.27,-20.94,-0.46599999999999964
1970-01-01 00:00:00.060,60,32767,-65,20.94,-20.94,0.0
1970-01-01 00:00:00.065,65,32767,-74,20.94,-20.94,0.932
1970-01-01 00:00:00.070,70,32767,-85,25.6,-20.94,0.0
1970-01-01 00:00:00.075,75,32767,-96,25.6,-23.27,-0.46600000000000036
1970-01-01 00:00:00.080,80,32767,-106,23.27,-25.6,0.932
1970-01-01 00:00:00.085,85,32767,-118,27.93,-25.6,-0.46599999999999964
1970-01-01 00:00:00.090,90,32767,-129,25.6,-27.93,0.46599999999999964
1970-01-01 00:00:00.095,95,32767,-141,27.93,-27.93,0.0
1970-01-01 00:00:00.100,100,32767,-153,27.93,-27.93,0.4640000000000001
1970-01-01 00:00:00.105,105,32767,-166,30.25,-27.93,-0.4640000000000001
1970-01-01 00:00:00.110,110,32767,-178,27.93,-27.93,0.4640000000000001
1970-01-01 00:00:00.115,115,32767,-191,30.25,-30.25,0.0
1970-01-01 00:00:00.120,120,32767,-204,30.25,-27.93,0.0
1970-01-01 00:00:00.125,125,32767,-216,30.25,-30.25,0.0
1970-01-01 00:00:00.130,130,32767,-230,30.25,-27.93,0.46599999999999964
1970-01-01 00:00:00.135,135,32767,-243,32.58,-30.25,-0.46599999999999964
1970-01-01 00:00:00.140,140,32767,-257,30.25,-32.58,0.0
1970-01-01 00:00:00.145,145,32767,-270,30.25,-30.25,0.46599999999999964
1970-01-01 00:00:00.150,150,32767,-284,32.58,-27.93,0.0
1970-01-01 00:00:00.155,155,32767,-298,32.58,-30.25,0.0
1970-01-01 00:00:00.160,160,32767,-312,32.58,-32.58,0.0
1970-01-01 00:00:00.165,165,32767,-326,32.58,-32.58,0.0
1970-01-01 00:00:00.170,170,32767,-340,32.58,-32.58,0.0
