time,time,input,output,speed1,speed2,diff_output
1970-01-01 00:00:00.000,0,32767,0,0.0,0.0,0.0
1970-01-01 00:00:00.005,5,32767,0,0.0,0.0,1.2
1970-01-01 00:00:00.010,10,32767,6,1.75,5.65,1.8
1970-01-01 00:00:00.015,15,32767,15,2.91,9.42,2.4
1970-01-01 00:00:00.020,20,32767,27,3.2,10.37,2.8
1970-01-01 00:00:00.025,25,32767,41,4.07,13.19,3.2
1970-01-01 00:00:00.030,30,32767,57,4.65,15.08,3.6
1970-01-01 00:00:00.035,35,32767,75,5.24,16.02,3.6
1970-01-01 00:00:00.040,40,32767,93,5.24,17.91,3.6
1970-01-01 00:00:00.045,45,32767,111,5.24,16.96,3.8
1970-01-01 00:00:00.050,50,32767,130,5.53,16.96,3.8
1970-01-01 00:00:00.055,55,32767,149,5.53,16.96,3.8
1970-01-01 00:00:00.060,60,32767,168,5.53,16.96,4.0
1970-01-01 00:00:00.065,65,32767,188,5.82,18.85,4.2
1970-01-01 00:00:00.070,70,32767,209,6.11,18.85,3.8
1970-01-01 00:00:00.075,75,32767,228,5.82,17.91,4.2
1970-01-01 00:00:00.080,80,32767,249,5.82,17.91,3.8
1970-01-01 00:00:00.085,85,32767,268,5.53,17.91,4.0
1970-01-01 00:00:00.090,90,32767,288,6.11,18.85,4.4
1970-01-01 00:00:00.095,95,32767,310,6.11,19.79,4.0
1970-01-01 00:00:00.100,100,32767,330,5.82,18.85,4.2
1970-01-01 00:00:00.105,105,32767,351,6.11,17.91,4.0
1970-01-01 00:00:00.110,110,32767,371,5.82,17.91,4.2
1970-01-01 00:00:00.115,115,32767,392,6.11,18.85,4.0
1970-01-01 00:00:00.120,120,32767,412,5.82,17.91,4.2
1970-01-01 00:00:00.125,125,32767,433,6.11,18.85,4.0
1970-01-01 00:00:00.130,130,32767,453,5.82,17.91,3.8
1970-01-01 00:00:00.135,135,32767,472,5.82,17.91,4.0
1970-01-01 00:00:00.140,140,32767,492,5.53,17.91,4.0
1970-01-01 00:00:00.145,145,32767,512,5.82,17.91,3.8
1970-01-01 00:00:00.150,150,32767,531,5.53,17.91,3.8
1970-01-01 00:00:00.155,155,32767,550,5.82,17.91,3.6
1970-01-01 00:00:00.160,160,32767,568,4.95,16.96,3.4
1970-01-01 00:00:00.165,165,32767,585,4.95,16.02,3.4
1970-01-01 00:00:00.170,170,32767,602,5.24,16.02,3.4
1970-01-01 00:00:00.175,175,32767,619,4.65,14.14,3.4
1970-01-01 00:00:00.180,180,32767,636,4.95,15.08,3.2
1970-01-01 00:00:00.185,185,32767,652,4.95,15.08,3.6
1970-01-01 00:00:00.190,190,32767,670,4.95,16.02,3.4
1970-01-01 00:00:00.195,195,32767,687,4.95,16.02,3.4
1970-01-01 00:00:00.200,200,32767,704,4.95,16.02,3.8
1970-01-01 00:00:00.205,205,32767,723,5.53,16.02,3.4
1970-01-01 00:00:00.210,210,32767,740,4.95,16.02,3.4
1970-01-01 00:00:00.215,215,32767,757,4.95,16.02,3.8
1970-01-01 00:00:00.220,220,32767,776,5.53,16.96,3.6
1970-01-01 00:00:00.225,225,32767,794,5.24,16.96,3.6
1970-01-01 00:00:00.230,230,32767,812,5.24,16.02,3.8
1970-01-01 00:00:00.235,235,32767,831,5.53,16.02,3.6
1970-01-01 00:00:00.240,240,32767,849,5.24,16.02,3.6
1970-01-01 00:00:00.245,245,32767,867,5.24,16.96,3.6
1970-01-01 00:00:00.250,250,32767,885,5.53,16.96,4.0
1970-01-01 00:00:00.255,255,32767,905,5.53,16.96,3.8
1970-01-01 00:00:00.260,260,32767,924,5.53,16.96,3.6
1970-01-01 00:00:00.265,265,32767,942,5.24,16.96,3.6
1970-01-01 00:00:00.270,270,32767,960,5.24,16.96,3.6
1970-01-01 00:00:00.275,275,32767,978,5.24,16.02,3.8
1970-01-01 00:00:00.280,280,32767,997,5.53,16.96,3.6
1970-01-01 00:00:00.285,285,32767,1015,5.24,16.02,3.6
1970-01-01 00:00:00.290,290,32767,1033,5.24,16.96,3.8
1970-01-01 00:00:00.295,295,32767,1052,5.53,16.96,3.8
1970-01-01 00:00:00.300,300,32767,1071,5.53,16.96,3.6
1970-01-01 00:00:00.305,305,32767,1089,5.24,16.96,3.6
1970-01-01 00:00:00.310,310,32767,1107,5.24,16.96,3.6
1970-01-01 00:00:00.315,315,32767,1125,5.53,16.02,3.4
1970-01-01 00:00:00.320,320,32767,1142,4.65,16.02,3.8
1970-01-01 00:00:00.325,325,32767,1161,5.53,17.91,3.8
1970-01-01 00:00:00.330,330,32767,1180,5.53,17.91,3.8
1970-01-01 00:00:00.335,335,32767,1199,5.53,16.96,4.0
1970-01-01 00:00:00.340,340,32767,1219,5.82,16.96,4.0
1970-01-01 00:00:00.345,345,32767,1239,5.82,17.91,3.8
1970-01-01 00:00:00.350,350,32767,1258,5.53,18.85,3.8
1970-01-01 00:00:00.355,355,32767,1277,5.53,17.91,4.0
1970-01-01 00:00:00.360,360,32767,1297,5.82,16.96,4.0
1970-01-01 00:00:00.365,365,32767,1317,5.82,18.85,4.2
1970-01-01 00:00:00.370,370,32767,1338,6.11,19.79,4.0
1970-01-01 00:00:00.375,375,32767,1358,5.82,18.85,4.0
1970-01-01 00:00:00.380,380,32767,1378,5.82,17.91,4.2
1970-01-01 00:00:00.385,385,32767,1399,6.11,19.79,4.0
1970-01-01 00:00:00.390,390,32767,1419,5.82,17.91,3.8
1970-01-01 00:00:00.395,395,32767,1438,5.53,17.91,4.0
1970-01-01 00:00:00.400,400,32767,1458,5.82,17.91,4.0
1970-01-01 00:00:00.405,405,32767,1478,5.82,18.85,4.4
1970-01-01 00:00:00.410,410,32767,1500,6.4,20.73,4.4
1970-01-01 00:00:00.415,415,32767,1522,6.4,18.85,4.4
1970-01-01 00:00:00.420,420,32767,1544,6.4,20.73,4.4
1970-01-01 00:00:00.425,425,32767,1566,6.4,19.79,4.6
1970-01-01 00:00:00.430,430,32767,1589,6.69,20.73,4.4
1970-01-01 00:00:00.435,435,32767,1611,6.69,21.68,4.6
