time,time,input,output,speed1,speed2,diff_output
1970-01-01 00:00:00.000,0,32767,0,0.0,0.0,0.4
1970-01-01 00:00:00.005,5,32767,2,0.58,1.88,1.6
1970-01-01 00:00:00.010,10,32767,10,2.33,7.54,2.0
1970-01-01 00:00:00.015,15,32767,20,2.91,9.42,2.2
1970-01-01 00:00:00.020,20,32767,31,3.2,10.37,2.6
1970-01-01 00:00:00.025,25,32767,44,3.78,11.31,2.8
1970-01-01 00:00:00.030,30,32767,58,4.07,12.25,3.0
1970-01-01 00:00:00.035,35,32767,73,4.36,13.19,2.8
1970-01-01 00:00:00.040,40,32767,87,4.36,14.14,3.0
1970-01-01 00:00:00.045,45,32767,102,4.36,13.19,3.2
1970-01-01 00:00:00.050,50,32767,118,4.36,14.14,2.8
1970-01-01 00:00:00.055,55,32767,132,4.36,14.14,3.0
1970-01-01 00:00:00.060,60,32767,147,4.07,14.14,3.0
1970-01-01 00:00:00.065,65,32767,162,4.36,13.19,3.0
1970-01-01 00:00:00.070,70,32767,177,4.36,14.14,3.0
1970-01-01 00:00:00.075,75,32767,192,4.65,14.14,3.0
1970-01-01 00:00:00.080,80,32767,207,4.36,14.14,3.0
1970-01-01 00:00:00.085,85,32767,222,4.07,13.19,3.2
1970-01-01 00:00:00.090,90,32767,238,4.65,15.08,3.0
1970-01-01 00:00:00.095,95,32767,253,4.36,13.19,3.0
1970-01-01 00:00:00.100,100,32767,268,4.36,13.19,3.0
1970-01-01 00:00:00.105,105,32767,283,4.36,14.14,2.8
1970-01-01 00:00:00.110,110,32767,297,4.07,14.14,2.8
1970-01-01 00:00:00.115,115,32767,311,4.36,13.19,3.0
1970-01-01 00:00:00.120,120,32767,326,4.36,14.14,3.0
1970-01-01 00:00:00.125,125,32767,341,4.07,14.14,3.2
1970-01-01 00:00:00.130,130,32767,357,4.65,15.08,3.0
1970-01-01 00:00:00.135,135,32767,372,4.36,14.14,3.2
1970-01-01 00:00:00.140,140,32767,388,4.65,14.14,3.0
1970-01-01 00:00:00.145,145,32767,403,4.36,13.19,3.0
1970-01-01 00:00:00.150,150,32767,418,4.36,14.14,3.0
1970-01-01 00:00:00.155,155,32767,433,4.36,14.14,3.2
