time,time,input,output,speed1,speed2,diff_output
1970-01-01 00:00:00.000,0,32767,0,0.0,0.0,1.0
1970-01-01 00:00:00.005,5,32767,5,1.45,4.71,1.6
1970-01-01 00:00:00.010,10,32767,13,2.33,8.48,2.2
1970-01-01 00:00:00.015,15,32767,24,3.2,10.37,2.6
1970-01-01 00:00:00.020,20,32767,37,3.78,12.25,2.8
1970-01-01 00:00:00.025,25,32767,51,4.07,12.25,3.2
1970-01-01 00:00:00.030,30,32767,67,4.65,15.08,3.0
1970-01-01 00:00:00.035,35,32767,82,4.65,14.14,3.4
1970-01-01 00:00:00.040,40,32767,99,4.95,15.08,3.6
1970-01-01 00:00:00.045,45,32767,117,4.95,16.02,3.8
1970-01-01 00:00:00.050,50,32767,136,5.53,16.96,3.8
1970-01-01 00:00:00.055,55,32767,155,5.53,16.96,3.8
1970-01-01 00:00:00.060,60,32767,174,5.53,16.96,3.8
1970-01-01 00:00:00.065,65,32767,193,5.53,17.91,3.8
1970-01-01 00:00:00.070,70,32767,212,5.53,16.96,3.6
1970-01-01 00:00:00.075,75,32767,230,5.53,16.96,3.8
1970-01-01 00:00:00.080,80,32767,249,5.24,17.91,3.8
1970-01-01 00:00:00.085,85,32767,268,5.82,16.96,3.8
1970-01-01 00:00:00.090,90,32767,287,5.24,16.96,3.8
1970-01-01 00:00:00.095,95,32767,306,5.53,17.91,3.8
1970-01-01 00:00:00.100,100,32767,325,5.53,16.96,3.8
1970-01-01 00:00:00.105,105,32767,344,5.53,16.96,3.8
1970-01-01 00:00:00.110,110,32767,363,5.53,16.96,3.8
1970-01-01 00:00:00.115,115,32767,382,5.53,17.91,3.8
1970-01-01 00:00:00.120,120,32767,401,5.53,17.91,3.8
1970-01-01 00:00:00.125,125,32767,420,5.53,17.91,3.8
1970-01-01 00:00:00.130,130,32767,439,5.53,17.91,3.6
1970-01-01 00:00:00.135,135,32767,457,5.53,16.96,3.8
1970-01-01 00:00:00.140,140,32767,476,5.24,16.02,3.4
1970-01-01 00:00:00.145,145,32767,493,4.95,16.02,3.6
1970-01-01 00:00:00.150,150,32767,511,5.24,16.02,3.6
1970-01-01 00:00:00.155,155,32767,529,5.24,16.96,3.2
1970-01-01 00:00:00.160,160,32767,545,4.95,15.08,3.4
1970-01-01 00:00:00.165,165,32767,562,4.65,15.08,3.8
1970-01-01 00:00:00.170,170,32767,581,5.53,17.91,3.8
1970-01-01 00:00:00.175,175,32767,600,5.53,16.96,3.6
1970-01-01 00:00:00.180,180,32767,618,5.24,16.96,3.6
1970-01-01 00:00:00.185,185,32767,636,5.24,16.02,3.6
1970-01-01 00:00:00.190,190,32767,654,5.24,16.96,3.6
1970-01-01 00:00:00.195,195,32767,672,5.24,16.96,3.6
1970-01-01 00:00:00.200,200,32767,690,5.24,16.02,3.6
1970-01-01 00:00:00.205,205,32767,708,5.24,16.02,3.6
1970-01-01 00:00:00.210,210,32767,726,5.24,16.02,3.4
1970-01-01 00:00:00.215,215,32767,743,5.24,15.08,3.4
1970-01-01 00:00:00.220,220,32767,760,4.65,15.08,3.4
1970-01-01 00:00:00.225,225,32767,777,4.95,16.02,3.2
1970-01-01 00:00:00.230,230,32767,793,4.65,14.14,3.0
1970-01-01 00:00:00.235,235,32767,808,4.36,14.14,3.2
1970-01-01 00:00:00.240,240,32767,824,4.65,13.19,3.0
1970-01-01 00:00:00.245,245,32767,839,4.36,14.14,3.0
1970-01-01 00:00:00.250,250,32767,854,4.36,14.14,3.0
1970-01-01 00:00:00.255,255,32767,869,4.36,14.14,3.2
1970-01-01 00:00:00.260,260,32767,885,4.65,15.08,3.2
1970-01-01 00:00:00.265,265,32767,901,4.65,15.08,3.0
1970-01-01 00:00:00.270,270,32767,916,4.36,12.25,3.2
1970-01-01 00:00:00.275,275,32767,932,4.65,14.14,3.2
1970-01-01 00:00:00.280,280,32767,948,4.65,14.14,3.4
1970-01-01 00:00:00.285,285,32767,965,4.95,15.08,3.2
1970-01-01 00:00:00.290,290,32767,981,4.65,16.02,3.2
1970-01-01 00:00:00.295,295,32767,997,4.65,15.08,3.2
1970-01-01 00:00:00.300,300,32767,1013,4.65,14.14,3.0
1970-01-01 00:00:00.305,305,32767,1028,4.65,14.14,3.2
1970-01-01 00:00:00.310,310,32767,1044,4.36,15.08,3.2
1970-01-01 00:00:00.315,315,32767,1060,4.65,15.08,3.2
1970-01-01 00:00:00.320,320,32767,1076,4.95,15.08,3.4
1970-01-01 00:00:00.325,325,32767,1093,4.65,15.08,3.2
1970-01-01 00:00:00.330,330,32767,1109,4.65,15.08,3.2
1970-01-01 00:00:00.335,335,32767,1125,4.65,15.08,3.2
1970-01-01 00:00:00.340,340,32767,1141,4.65,15.08,3.2
1970-01-01 00:00:00.345,345,32767,1157,4.65,15.08,3.2
1970-01-01 00:00:00.350,350,32767,1173,4.65,15.08,3.2
1970-01-01 00:00:00.355,355,32767,1189,4.65,15.08,3.4
1970-01-01 00:00:00.360,360,32767,1206,4.95,15.08,3.2
1970-01-01 00:00:00.365,365,32767,1222,4.65,15.08,3.2
1970-01-01 00:00:00.370,370,32767,1238,4.65,15.08,3.2
1970-01-01 00:00:00.375,375,32767,1254,4.65,15.08,3.4
1970-01-01 00:00:00.380,380,32767,1271,4.95,15.08,3.2
1970-01-01 00:00:00.385,385,32767,1287,4.65,14.14,3.2
1970-01-01 00:00:00.390,390,32767,1303,4.65,14.14,3.0
1970-01-01 00:00:00.395,395,32767,1318,4.36,15.08,3.4
1970-01-01 00:00:00.400,400,32767,1335,4.95,16.02,3.2
1970-01-01 00:00:00.405,405,32767,1351,4.95,15.08,3.4
1970-01-01 00:00:00.410,410,32767,1368,4.65,15.08,3.4
1970-01-01 00:00:00.415,415,32767,1385,4.95,15.08,3.4
1970-01-01 00:00:00.420,420,32767,1402,4.95,16.02,3.4
1970-01-01 00:00:00.425,425,32767,1419,4.95,16.02,3.8
1970-01-01 00:00:00.430,430,32767,1438,5.53,17.91,3.6
1970-01-01 00:00:00.435,435,32767,1456,5.24,15.08,3.6
1970-01-01 00:00:00.440,440,32767,1474,5.24,16.96,3.6
1970-01-01 00:00:00.445,445,32767,1492,5.24,15.08,3.8
1970-01-01 00:00:00.450,450,32767,1511,5.53,17.91,3.6
1970-01-01 00:00:00.455,455,32767,1529,5.24,16.02,3.6
1970-01-01 00:00:00.460,460,32767,1547,5.24,16.02,3.8
1970-01-01 00:00:00.465,465,32767,1566,5.53,16.96,3.6
1970-01-01 00:00:00.470,470,32767,1584,5.24,16.96,3.6
1970-01-01 00:00:00.475,475,32767,1602,5.24,16.96,3.2
1970-01-01 00:00:00.480,480,32767,1618,4.65,15.08,3.2
1970-01-01 00:00:00.485,485,32767,1634,4.65,15.08,3.4
1970-01-01 00:00:00.490,490,32767,1651,4.95,15.08,3.2
1970-01-01 00:00:00.495,495,32767,1667,4.65,15.08,3.8
1970-01-01 00:00:00.500,500,32767,1686,5.53,16.96,4.0
1970-01-01 00:00:00.505,505,32767,1706,5.82,16.96,4.0
1970-01-01 00:00:00.510,510,32767,1726,5.82,17.91,3.8
1970-01-01 00:00:00.515,515,32767,1745,5.53,16.96,3.6
1970-01-01 00:00:00.520,520,32767,1763,5.24,16.96,4.0
1970-01-01 00:00:00.525,525,32767,1783,5.82,16.96,3.8
1970-01-01 00:00:00.530,530,32767,1802,5.53,16.96,4.0
1970-01-01 00:00:00.535,535,32767,1822,5.82,17.91,4.0
1970-01-01 00:00:00.540,540,32767,1842,5.82,17.91,3.8
1970-01-01 00:00:00.545,545,32767,1861,5.82,17.91,4.0
1970-01-01 00:00:00.550,550,32767,1881,5.53,18.85,3.8
