time,time,input,output,speed1,speed2,diff_output
1970-01-01 00:00:00.000,0,32767,0,0.0,0.0,0.6
1970-01-01 00:00:00.005,5,32767,3,0.87,2.83,1.4
1970-01-01 00:00:00.010,10,32767,10,2.04,6.6,2.4
1970-01-01 00:00:00.015,15,32767,22,3.49,11.31,2.4
1970-01-01 00:00:00.020,20,32767,34,3.49,11.31,3.0
1970-01-01 00:00:00.025,25,32767,49,4.36,14.14,3.2
1970-01-01 00:00:00.030,30,32767,65,4.65,15.08,3.6
1970-01-01 00:00:00.035,35,32767,83,5.24,16.02,3.6
1970-01-01 00:00:00.040,40,32767,101,5.24,16.96,3.6
1970-01-01 00:00:00.045,45,32767,119,5.24,16.96,3.6
1970-01-01 00:00:00.050,50,32767,137,5.53,16.96,3.8
1970-01-01 00:00:00.055,55,32767,156,5.24,16.96,3.8
1970-01-01 00:00:00.060,60,32767,175,5.53,16.02,3.8
1970-01-01 00:00:00.065,65,32767,194,5.53,16.96,4.0
1970-01-01 00:00:00.070,70,32767,214,5.82,18.85,3.6
1970-01-01 00:00:00.075,75,32767,232,5.24,16.96,3.8
1970-01-01 00:00:00.080,80,32767,251,5.53,16.96,3.4
1970-01-01 00:00:00.085,85,32767,268,4.95,16.02,3.6
1970-01-01 00:00:00.090,90,32767,286,5.24,16.02,3.6
1970-01-01 00:00:00.095,95,32767,304,5.24,16.02,3.4
1970-01-01 00:00:00.100,100,32767,321,4.95,16.02,3.6
1970-01-01 00:00:00.105,105,32767,339,5.24,15.08,3.8
1970-01-01 00:00:00.110,110,32767,358,5.53,17.91,4.0
1970-01-01 00:00:00.115,115,32767,378,5.82,18.85,3.8
1970-01-01 00:00:00.120,120,32767,397,5.53,17.91,4.0
1970-01-01 00:00:00.125,125,32767,417,5.82,16.96,3.8
1970-01-01 00:00:00.130,130,32767,436,5.53,17.91,3.8
1970-01-01 00:00:00.135,135,32767,455,5.82,17.91,4.0
1970-01-01 00:00:00.140,140,32767,475,5.53,17.91,3.8
1970-01-01 00:00:00.145,145,32767,494,5.53,17.91,3.8
1970-01-01 00:00:00.150,150,32767,513,5.53,17.91,3.6
1970-01-01 00:00:00.155,155,32767,531,5.53,16.96,3.8
1970-01-01 00:00:00.160,160,32767,550,5.24,17.91,3.8
1970-01-01 00:00:00.165,165,32767,569,5.53,16.96,3.6
1970-01-01 00:00:00.170,170,32767,587,5.24,16.96,3.6
1970-01-01 00:00:00.175,175,32767,605,5.53,16.96,3.6
1970-01-01 00:00:00.180,180,32767,623,4.95,16.02,3.6
1970-01-01 00:00:00.185,185,32767,641,5.24,16.96,3.6
1970-01-01 00:00:00.190,190,32767,659,5.24,16.96,3.6
1970-01-01 00:00:00.195,195,32767,677,5.24,16.96,3.6
1970-01-01 00:00:00.200,200,32767,695,5.24,16.02,3.6
1970-01-01 00:00:00.205,205,32767,713,5.24,16.96,3.6
1970-01-01 00:00:00.210,210,32767,731,5.24,16.02,3.4
1970-01-01 00:00:00.215,215,32767,748,4.95,16.02,3.6
1970-01-01 00:00:00.220,220,32767,766,5.24,16.96,3.4
1970-01-01 00:00:00.225,225,32767,783,4.95,16.02,3.4
1970-01-01 00:00:00.230,230,32767,800,4.95,15.08,3.4
1970-01-01 00:00:00.235,235,32767,817,4.95,15.08,3.4
1970-01-01 00:00:00.240,240,32767,834,4.95,16.02,3.6
1970-01-01 00:00:00.245,245,32767,852,5.24,16.02,3.4
1970-01-01 00:00:00.250,250,32767,869,4.95,15.08,3.4
1970-01-01 00:00:00.255,255,32767,886,5.24,16.02,3.6
1970-01-01 00:00:00.260,260,32767,904,4.95,16.96,3.4
1970-01-01 00:00:00.265,265,32767,921,4.95,16.02,3.6
1970-01-01 00:00:00.270,270,32767,939,5.24,16.96,3.6
1970-01-01 00:00:00.275,275,32767,957,5.24,16.02,3.4
1970-01-01 00:00:00.280,280,32767,974,4.95,16.02,3.6
1970-01-01 00:00:00.285,285,32767,992,5.24,16.96,3.6
1970-01-01 00:00:00.290,290,32767,1010,5.24,16.02,3.4
1970-01-01 00:00:00.295,295,32767,1027,4.95,15.08,3.4
1970-01-01 00:00:00.300,300,32767,1044,4.95,16.02,3.2
1970-01-01 00:00:00.305,305,32767,1060,4.95,15.08,3.4
1970-01-01 00:00:00.310,310,32767,1077,4.65,14.14,3.2
1970-01-01 00:00:00.315,315,32767,1093,4.65,15.08,3.6
1970-01-01 00:00:00.320,320,32767,1111,5.24,16.02,3.6
1970-01-01 00:00:00.325,325,32767,1129,5.24,16.02,3.4
1970-01-01 00:00:00.330,330,32767,1146,4.95,16.02,3.6
1970-01-01 00:00:00.335,335,32767,1164,5.24,16.96,3.6
1970-01-01 00:00:00.340,340,32767,1182,5.24,16.02,3.4
1970-01-01 00:00:00.345,345,32767,1199,4.95,15.08,3.2
1970-01-01 00:00:00.350,350,32767,1215,4.65,15.08,3.6
1970-01-01 00:00:00.355,355,32767,1233,5.24,15.08,3.4
1970-01-01 00:00:00.360,360,32767,1250,4.95,16.02,3.6
1970-01-01 00:00:00.365,365,32767,1268,5.24,16.96,3.6
1970-01-01 00:00:00.370,370,32767,1286,5.24,16.02,3.6
1970-01-01 00:00:00.375,375,32767,1304,5.24,16.96,3.6
1970-01-01 00:00:00.380,380,32767,1322,5.24,16.02,3.4
1970-01-01 00:00:00.385,385,32767,1339,4.95,16.02,3.6
1970-01-01 00:00:00.390,390,32767,1357,5.24,16.02,3.6
1970-01-01 00:00:00.395,395,32767,1375,5.24,16.96,3.8
1970-01-01 00:00:00.400,400,32767,1394,5.53,16.96,3.8
1970-01-01 00:00:00.405,405,32767,1413,5.53,17.91,3.6
1970-01-01 00:00:00.410,410,32767,1431,5.24,16.96,3.6
1970-01-01 00:00:00.415,415,32767,1449,5.24,16.02,3.2
1970-01-01 00:00:00.420,420,32767,1465,4.65,15.08,3.4
1970-01-01 00:00:00.425,425,32767,1482,4.95,16.02,3.8
1970-01-01 00:00:00.430,430,32767,1501,5.53,17.91,4.0
1970-01-01 00:00:00.435,435,32767,1521,6.11,18.85,4.2
1970-01-01 00:00:00.440,440,32767,1542,5.82,18.85,4.2
1970-01-01 00:00:00.445,445,32767,1563,6.11,19.79,4.0
1970-01-01 00:00:00.450,450,32767,1583,5.82,18.85,4.2
1970-01-01 00:00:00.455,455,32767,1604,6.11,18.85,4.0
1970-01-01 00:00:00.460,460,32767,1624,5.82,18.85,4.0
1970-01-01 00:00:00.465,465,32767,1644,5.82,18.85,4.2
1970-01-01 00:00:00.470,470,32767,1665,6.11,18.85,4.0
1970-01-01 00:00:00.475,475,32767,1685,5.82,18.85,4.2
