time,time,input,counts,output,speed2,diff_output
1970-01-01 00:00:00.000,0,32767,-31,-4.65,-4.65,1.3960000000000001
1970-01-01 00:00:00.005,5,32767,-30,2.33,2.33,0.93
1970-01-01 00:00:00.010,10,32767,-27,6.98,6.98,0.932
1970-01-01 00:00:00.015,15,32767,-22,11.64,11.64,0.0
1970-01-01 00:00:00.020,20,32767,-17,11.64,9.31,0.4640000000000001
1970-01-01 00:00:00.025,25,32767,-11,13.96,13.96,-0.93
1970-01-01 00:00:00.030,30,32767,-7,9.31,9.31,1.3959999999999997
1970-01-01 00:00:00.035,35,32767,0,16.29,16.29,0.0
1970-01-01 00:00:00.040,40,32767,7,16.29,13.96,0.46600000000000036
1970-01-01 00:00:00.045,45,32767,15,18.62,16.29,0.4640000000000001
1970-01-01 00:00:00.050,50,32767,24,20.94,20.94,0.0
1970-01-01 00:00:00.055,55,32767,33,20.94,18.62,0.46599999999999964
1970-01-01 00:00:00.060,60,32767,43,23.27,23.27,0.0
1970-01-01 00:00:00.065,65,32767,53,23.27,23.27,0.0
1970-01-01 00:00:00.070,70,32767,63,23.27,23.27,0.46600000000000036
1970-01-01 00:00:00.075,75,32767,74,25.6,25.6,0.0
1970-01-01 00:00:00.080,80,32767,85,25.6,23.27,0.46599999999999964
1970-01-01 00:00:00.085,85,32767,97,27.93,25.6,0.0
1970-01-01 00:00:00.090,90,32767,109,27.93,27.93,0.0
1970-01-01 00:00:00.095,95,32767,121,27.93,27.93,0.9299999999999997
1970-01-01 00:00:00.100,100,32767,135,32.58,32.58,-0.9299999999999997
1970-01-01 00:00:00.105,105,32767,147,27.93,27.93,0.4640000000000001
1970-01-01 00:00:00.110,110,32767,160,30.25,32.58,0.46599999999999964
1970-01-01 00:00:00.115,115,32767,174,32.58,27.93,-1.3959999999999995
1970-01-01 00:00:00.120,120,32767,185,25.6,27.93,1.3959999999999995
1970-01-01 00:00:00.125,125,32767,199,32.58,27.93,-0.9299999999999997
1970-01-01 00:00:00.130,130,32767,211,27.93,30.25,0.9299999999999997
1970-01-01 00:00:00.135,135,32767,225,32.58,27.93,0.0
1970-01-01 00:00:00.140,140,32767,239,32.58,30.25,0.0
1970-01-01 00:00:00.145,145,32767,252,32.58,32.58,0.0
1970-01-01 00:00:00.150,150,32767,267,32.58,34.91,0.0
1970-01-01 00:00:00.155,155,32767,280,32.58,32.58,-0.46599999999999964
1970-01-01 00:00:00.160,160,32767,294,30.25,32.58,0.46599999999999964
1970-01-01 00:00:00.165,165,32767,308,32.58,30.25,0.46599999999999964
1970-01-01 00:00:00.170,170,32767,323,34.91,34.91,0.0
1970-01-01 00:00:00.175,175,32767,337,34.91,32.58,-1.3959999999999995
1970-01-01 00:00:00.180,180,32767,350,27.93,27.93,1.3959999999999995
1970-01-01 00:00:00.185,185,32767,365,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.190,190,32767,379,32.58,32.58,0.0
1970-01-01 00:00:00.195,195,32767,393,32.58,32.58,0.0
1970-01-01 00:00:00.200,200,32767,407,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.205,205,32767,422,34.91,32.58,0.0
1970-01-01 00:00:00.210,210,32767,436,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.215,215,32767,451,32.58,32.58,0.0
1970-01-01 00:00:00.220,220,32767,465,32.58,34.91,0.46599999999999964
1970-01-01 00:00:00.225,225,32767,480,34.91,32.58,0.0
1970-01-01 00:00:00.230,230,32767,495,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.235,235,32767,509,32.58,32.58,0.0
1970-01-01 00:00:00.240,240,32767,523,32.58,32.58,0.9299999999999997
1970-01-01 00:00:00.245,245,32767,539,37.23,32.58,-0.9299999999999997
1970-01-01 00:00:00.250,250,32767,553,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.255,255,32767,567,34.91,34.91,0.0
1970-01-01 00:00:00.260,260,32767,583,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.265,265,32767,597,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.270,270,32767,611,34.91,34.91,0.0
1970-01-01 00:00:00.275,275,32767,627,34.91,32.58,-0.46599999999999964
