time,time,input,counts,output,speed2,diff_output
1970-01-01 00:00:00.000,0,32767,-43,0.0,0.0,0.466
1970-01-01 00:00:00.005,5,32767,-42,2.33,2.33,0.93
1970-01-01 00:00:00.010,10,32767,-39,6.98,6.98,1.3960000000000001
1970-01-01 00:00:00.015,15,32767,-33,13.96,11.64,-0.4640000000000001
1970-01-01 00:00:00.020,20,32767,-28,11.64,11.64,0.0
1970-01-01 00:00:00.025,25,32767,-23,11.64,9.31,0.4640000000000001
1970-01-01 00:00:00.030,30,32767,-17,13.96,13.96,0.0
1970-01-01 00:00:00.035,35,32767,-11,13.96,13.96,0.932
1970-01-01 00:00:00.040,40,32767,-3,18.62,18.62,0.0
1970-01-01 00:00:00.045,45,32767,5,18.62,18.62,0.0
1970-01-01 00:00:00.050,50,32767,13,18.62,18.62,0.9299999999999997
1970-01-01 00:00:00.055,55,32767,23,23.27,20.94,-0.46599999999999964
1970-01-01 00:00:00.060,60,32767,32,20.94,23.27,0.46599999999999964
1970-01-01 00:00:00.065,65,32767,42,23.27,23.27,0.46600000000000036
1970-01-01 00:00:00.070,70,32767,53,25.6,23.27,-0.46600000000000036
1970-01-01 00:00:00.075,75,32767,63,23.27,25.6,0.932
1970-01-01 00:00:00.080,80,32767,75,27.93,25.6,0.0
1970-01-01 00:00:00.085,85,32767,87,27.93,30.25,-0.46599999999999964
1970-01-01 00:00:00.090,90,32767,98,25.6,25.6,0.46599999999999964
1970-01-01 00:00:00.095,95,32767,110,27.93,25.6,0.0
1970-01-01 00:00:00.100,100,32767,122,27.93,25.6,0.4640000000000001
1970-01-01 00:00:00.105,105,32767,135,30.25,27.93,0.0
1970-01-01 00:00:00.110,110,32767,148,30.25,27.93,-0.4640000000000001
1970-01-01 00:00:00.115,115,32767,160,27.93,27.93,0.9299999999999997
1970-01-01 00:00:00.120,120,32767,174,32.58,27.93,-0.9299999999999997
1970-01-01 00:00:00.125,125,32767,186,27.93,27.93,0.9299999999999997
1970-01-01 00:00:00.130,130,32767,200,32.58,30.25,-0.9299999999999997
1970-01-01 00:00:00.135,135,32767,212,27.93,32.58,0.9299999999999997
1970-01-01 00:00:00.140,140,32767,226,32.58,27.93,0.0
1970-01-01 00:00:00.145,145,32767,240,32.58,30.25,0.0
1970-01-01 00:00:00.150,150,32767,254,32.58,32.58,-0.46599999999999964
1970-01-01 00:00:00.155,155,32767,267,30.25,32.58,0.46599999999999964
1970-01-01 00:00:00.160,160,32767,281,32.58,32.58,0.0
1970-01-01 00:00:00.165,165,32767,294,32.58,32.58,-0.46599999999999964
1970-01-01 00:00:00.170,170,32767,308,30.25,32.58,0.46599999999999964
1970-01-01 00:00:00.175,175,32767,322,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.180,180,32767,336,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.185,185,32767,351,32.58,32.58,0.0
1970-01-01 00:00:00.190,190,32767,365,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.195,195,32767,380,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.200,200,32767,394,32.58,32.58,0.0
1970-01-01 00:00:00.205,205,32767,408,32.58,32.58,0.0
1970-01-01 00:00:00.210,210,32767,422,32.58,30.25,0.0
1970-01-01 00:00:00.215,215,32767,436,32.58,34.91,0.46599999999999964
1970-01-01 00:00:00.220,220,32767,451,34.91,32.58,0.0
1970-01-01 00:00:00.225,225,32767,466,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.230,230,32767,480,32.58,32.58,0.0
1970-01-01 00:00:00.235,235,32767,494,32.58,32.58,0.9299999999999997
1970-01-01 00:00:00.240,240,32767,509,37.23,32.58,-0.9299999999999997
1970-01-01 00:00:00.245,245,32767,524,32.58,32.58,0.0
1970-01-01 00:00:00.250,250,32767,538,32.58,34.91,0.46599999999999964
1970-01-01 00:00:00.255,255,32767,553,34.91,34.91,0.0
1970-01-01 00:00:00.260,260,32767,568,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.265,265,32767,582,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.270,270,32767,597,34.91,34.91,0.0
1970-01-01 00:00:00.275,275,32767,612,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.280,280,32767,626,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.285,285,32767,641,34.91,34.91,0.0
1970-01-01 00:00:00.290,290,32767,656,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.295,295,32767,670,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.300,300,32767,685,34.91,34.91,0.0
1970-01-01 00:00:00.305,305,32767,700,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.310,310,32767,714,32.58,34.91,0.9299999999999997
1970-01-01 00:00:00.315,315,32767,729,37.23,32.58,-0.9299999999999997
1970-01-01 00:00:00.320,320,32767,744,32.58,32.58,0.0
1970-01-01 00:00:00.325,325,32767,758,32.58,32.58,0.9299999999999997
1970-01-01 00:00:00.330,330,32767,774,37.23,32.58,-0.9299999999999997
1970-01-01 00:00:00.335,335,32767,788,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.340,340,32767,803,34.91,34.91,0.0
1970-01-01 00:00:00.345,345,32767,818,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.350,350,32767,832,32.58,34.91,0.9299999999999997
1970-01-01 00:00:00.355,355,32767,848,37.23,32.58,-0.9299999999999997
1970-01-01 00:00:00.360,360,32767,862,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.365,365,32767,877,34.91,34.91,0.0
1970-01-01 00:00:00.370,370,32767,892,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.375,375,32767,906,32.58,34.91,0.9299999999999997
1970-01-01 00:00:00.380,380,32767,922,37.23,32.58,-0.9299999999999997
1970-01-01 00:00:00.385,385,32767,936,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.390,390,32767,951,34.91,32.58,0.0
1970-01-01 00:00:00.395,395,32767,966,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.400,400,32767,980,32.58,37.23,0.9299999999999997
1970-01-01 00:00:00.405,405,32767,996,37.23,32.58,-0.9299999999999997
1970-01-01 00:00:00.410,410,32767,1010,32.58,32.58,0.9299999999999997
1970-01-01 00:00:00.415,415,32767,1025,37.23,34.91,-0.9299999999999997
1970-01-01 00:00:00.420,420,32767,1040,32.58,32.58,0.0
