time,time,input,counts,output,speed2,diff_output
1970-01-01 00:00:00.000,0,32767,0,0.0,0.0,0.93
1970-01-01 00:00:00.005,5,32767,2,4.65,4.65,0.932
1970-01-01 00:00:00.010,10,32767,6,9.31,9.31,0.93
1970-01-01 00:00:00.015,15,32767,12,13.96,13.96,-0.4640000000000001
1970-01-01 00:00:00.020,20,32767,17,11.64,11.64,0.0
1970-01-01 00:00:00.025,25,32767,22,11.64,9.31,0.4640000000000001
1970-01-01 00:00:00.030,30,32767,28,13.96,13.96,0.46599999999999964
1970-01-01 00:00:00.035,35,32767,35,16.29,16.29,0.0
1970-01-01 00:00:00.040,40,32767,42,16.29,13.96,0.46600000000000036
1970-01-01 00:00:00.045,45,32767,50,18.62,18.62,0.9299999999999997
1970-01-01 00:00:00.050,50,32767,60,23.27,20.94,-0.46599999999999964
1970-01-01 00:00:00.055,55,32767,68,20.94,20.94,0.0
1970-01-01 00:00:00.060,60,32767,78,20.94,20.94,0.932
1970-01-01 00:00:00.065,65,32767,89,25.6,20.94,0.0
1970-01-01 00:00:00.070,70,32767,100,25.6,23.27,-0.46600000000000036
1970-01-01 00:00:00.075,75,32767,110,23.27,23.27,0.932
1970-01-01 00:00:00.080,80,32767,122,27.93,25.6,-0.46599999999999964
1970-01-01 00:00:00.085,85,32767,133,25.6,27.93,0.46599999999999964
1970-01-01 00:00:00.090,90,32767,145,27.93,27.93,0.0
1970-01-01 00:00:00.095,95,32767,157,27.93,27.93,0.0
1970-01-01 00:00:00.100,100,32767,169,27.93,27.93,0.4640000000000001
1970-01-01 00:00:00.105,105,32767,182,30.25,27.93,-0.4640000000000001
1970-01-01 00:00:00.110,110,32767,194,27.93,27.93,0.9299999999999997
1970-01-01 00:00:00.115,115,32767,207,32.58,30.25,-0.9299999999999997
1970-01-01 00:00:00.120,120,32767,220,27.93,27.93,0.9299999999999997
1970-01-01 00:00:00.125,125,32767,234,32.58,30.25,-0.9299999999999997
1970-01-01 00:00:00.130,130,32767,246,27.93,30.25,0.9299999999999997
1970-01-01 00:00:00.135,135,32767,260,32.58,27.93,0.0
1970-01-01 00:00:00.140,140,32767,274,32.58,32.58,-0.46599999999999964
1970-01-01 00:00:00.145,145,32767,287,30.25,32.58,0.0
1970-01-01 00:00:00.150,150,32767,300,30.25,30.25,0.46599999999999964
1970-01-01 00:00:00.155,155,32767,314,32.58,30.25,0.0
1970-01-01 00:00:00.160,160,32767,328,32.58,27.93,0.0
1970-01-01 00:00:00.165,165,32767,342,32.58,32.58,0.0
1970-01-01 00:00:00.170,170,32767,356,32.58,30.25,0.0
1970-01-01 00:00:00.175,175,32767,370,32.58,32.58,0.0
1970-01-01 00:00:00.180,180,32767,384,32.58,30.25,0.0
1970-01-01 00:00:00.185,185,32767,398,32.58,30.25,0.46599999999999964
1970-01-01 00:00:00.190,190,32767,412,34.91,32.58,0.0
1970-01-01 00:00:00.195,195,32767,427,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.200,200,32767,442,32.58,32.58,0.0
1970-01-01 00:00:00.205,205,32767,456,32.58,32.58,0.0
1970-01-01 00:00:00.210,210,32767,470,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.215,215,32767,484,34.91,32.58,0.0
1970-01-01 00:00:00.220,220,32767,500,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.225,225,32767,514,32.58,32.58,0.0
1970-01-01 00:00:00.230,230,32767,528,32.58,32.58,0.46599999999999964
1970-01-01 00:00:00.235,235,32767,543,34.91,34.91,0.0
1970-01-01 00:00:00.240,240,32767,558,34.91,32.58,-0.46599999999999964
1970-01-01 00:00:00.245,245,32767,572,32.58,32.58,0.0
1970-01-01 00:00:00.250,250,32767,586,32.58,32.58,0.9299999999999997
1970-01-01 00:00:00.255,255,32767,601,37.23,32.58,-0.9299999999999997
